Source,Target,Type,Id,Label,Weight,d1
Elevation (Novella),'Salem'S Lot,Directed,0,,1,0
Elevation (Novella),11/22/63,Directed,1,,1,0
Elevation (Novella),A Good Marriage (Film),Directed,2,,1,0
Elevation (Novella),All-World,Directed,3,,1,0
Elevation (Novella),American Vampire,Directed,4,,1,0
Elevation (Novella),Bag Of Bones,Directed,5,,1,0
Elevation (Novella),Bibliography Of Works On Stephen King,Directed,6,,1,0
Elevation (Novella),Billy Summers,Directed,7,,1,0
Elevation (Novella),Black House (Novel),Directed,8,,1,0
Elevation (Novella),Black Ribbons,Directed,9,,1,0
Elevation (Novella),Blaze (Novel),Directed,10,,1,0
Elevation (Novella),Carrie (Novel),Directed,11,,1,0
Elevation (Novella),Castle Rock (Stephen King),Directed,12,,1,0
Elevation (Novella),Castle Rock Entertainment,Directed,13,,1,0
Elevation (Novella),Cat'S Eye (1985 Film),Directed,14,,1,0
Elevation (Novella),Cell (Film),Directed,15,,1,0
Elevation (Novella),Cell (Novel),Directed,16,,1,0
Elevation (Novella),Charles Scribner'S Sons,Directed,17,,1,0
Elevation (Novella),Charlie The Choo-Choo (Book),Directed,18,,1,0
Elevation (Novella),Chinga (The X-Files),Directed,19,,1,0
Elevation (Novella),Christine (Novel),Directed,20,,1,0
Elevation (Novella),Creepshow,Directed,21,,1,0
Elevation (Novella),Cujo,Directed,22,,1,0
Elevation (Novella),Cycle Of The Werewolf,Directed,23,,1,0
Elevation (Novella),Danse Macabre (Book),Directed,24,,1,0
Elevation (Novella),Derry (Stephen King),Directed,25,,1,0
Elevation (Novella),Desperation (Novel),Directed,26,,1,0
Elevation (Novella),Different Seasons,Directed,27,,1,0
Elevation (Novella),Doctor Sleep (Novel),Directed,28,,1,0
Elevation (Novella),Dollar Baby,Directed,29,,1,0
Elevation (Novella),Dolores Claiborne,Directed,30,,1,0
Elevation (Novella),Dreamcatcher (Novel),Directed,31,,1,0
Elevation (Novella),Duma Key,Directed,32,,1,0
Elevation (Novella),End Of Watch (Novel),Directed,33,,1,0
Elevation (Novella),Entertainment Weekly,Directed,34,,1,0
Elevation (Novella),Everything'S Eventual,Directed,35,,1,0
Elevation (Novella),Fairy Tale (Novel),Directed,36,,1,0
Elevation (Novella),Faithful (Book),Directed,37,,1,0
Elevation (Novella),Finders Keepers (King Novel),Directed,38,,1,0
Elevation (Novella),Firestarter (Novel),Directed,39,,1,0
Elevation (Novella),Flight Or Fright,Directed,40,,1,0
Elevation (Novella),Four Past Midnight,Directed,41,,1,0
Elevation (Novella),From A Buick 8,Directed,42,,1,0
Elevation (Novella),"Full Dark, No Stars",Directed,43,,1,0
Elevation (Novella),Gerald'S Game,Directed,44,,1,0
Elevation (Novella),Ghost Brothers Of Darkland County,Directed,45,,1,0
Elevation (Novella),Golden Years (Miniseries),Directed,46,,1,0
Elevation (Novella),Guns (Essay),Directed,47,,1,0
Elevation (Novella),Gwendy'S Button Box,Directed,48,,1,0
Elevation (Novella),Gwendy'S Final Task,Directed,49,,1,0
Elevation (Novella),Heads Will Roll (Under The Dome),Directed,50,,1,0
Elevation (Novella),Hearts In Atlantis,Directed,51,,1,0
Elevation (Novella),Hearts In Suspension,Directed,52,,1,0
Elevation (Novella),Heroes For Hope,Directed,53,,1,0
Elevation (Novella),If It Bleeds,Directed,54,,1,0
Elevation (Novella),Insomnia (Novel),Directed,55,,1,0
Elevation (Novella),It (Novel),Directed,56,,1,0
Elevation (Novella),Jack Bender,Directed,57,,1,0
Elevation (Novella),Jerusalem'S Lot (Stephen King),Directed,58,,1,0
Elevation (Novella),Joe Hill (Writer),Directed,59,,1,0
Elevation (Novella),Joyland (King Novel),Directed,60,,1,0
Elevation (Novella),Just After Sunset,Directed,61,,1,0
Elevation (Novella),Kingdom Hospital,Directed,62,,1,0
Elevation (Novella),Kirkus Reviews,Directed,63,,1,0
Elevation (Novella),Later (Novel),Directed,64,,1,0
Elevation (Novella),Lisey'S Story,Directed,65,,1,0
Elevation (Novella),Lisey'S Story (Miniseries),Directed,66,,1,0
Elevation (Novella),Maine,Directed,67,,1,0
Elevation (Novella),Maximum Overdrive,Directed,68,,1,0
Elevation (Novella),Michael Jackson'S Ghosts,Directed,69,,1,0
Elevation (Novella),Misery (Novel),Directed,70,,1,0
Elevation (Novella),Mr. Mercedes,Directed,71,,1,0
Elevation (Novella),Multiverse (Stephen King),Directed,72,,1,0
Elevation (Novella),Needful Things,Directed,73,,1,0
Elevation (Novella),Night Shift (Short Story Collection),Directed,74,,1,0
Elevation (Novella),Nightmares & Dreamscapes,Directed,75,,1,0
Elevation (Novella),Nightmares In The Sky,Directed,76,,1,0
Elevation (Novella),On Writing: A Memoir Of The Craft,Directed,77,,1,0
Elevation (Novella),Owen King,Directed,78,,1,0
Elevation (Novella),"People, Places And Things (Short Story Collection)",Directed,79,,1,0
Elevation (Novella),Pet Sematary,Directed,80,,1,0
Elevation (Novella),Pet Sematary (1989 Film),Directed,81,,1,0
Elevation (Novella),Philtrum Press,Directed,82,,1,0
Elevation (Novella),Rage (King Novel),Directed,83,,1,0
Elevation (Novella),Raymond H. Fogler Library,Directed,84,,1,0
Elevation (Novella),Revival (Novel),Directed,85,,1,0
Elevation (Novella),Richard Bachman,Directed,86,,1,0
Elevation (Novella),Roadwork (Novel),Directed,87,,1,0
Elevation (Novella),Rock Bottom Remainders,Directed,88,,1,0
Elevation (Novella),Rose Madder (Novel),Directed,89,,1,0
Elevation (Novella),Rose Red (Miniseries),Directed,90,,1,0
Elevation (Novella),Shawshank State Prison,Directed,91,,1,0
Elevation (Novella),Silver Bullet (Film),Directed,92,,1,0
Elevation (Novella),Six Scary Stories,Directed,93,,1,0
Elevation (Novella),Six Stories,Directed,94,,1,0
Elevation (Novella),Skeleton Crew (Short Story Collection),Directed,95,,1,0
Elevation (Novella),Sleeping Beauties (Novel),Directed,96,,1,0
Elevation (Novella),Sleepwalkers (1992 Film),Directed,97,,1,0
Elevation (Novella),"Sorry, Right Number",Directed,98,,1,0
Elevation (Novella),Stephen King'S Desperation,Directed,99,,1,0
Elevation (Novella),Stephen King Goes To The Movies,Directed,100,,1,0
Elevation (Novella),Stephen King Bibliography,Directed,101,,1,0
Elevation (Novella),Stephen King Short Fiction Bibliography,Directed,102,,1,0
Elevation (Novella),Storm Of The Century,Directed,103,,1,0
Elevation (Novella),Tabitha King,Directed,104,,1,0
Elevation (Novella),The Bachman Books,Directed,105,,1,0
Elevation (Novella),The Bazaar Of Bad Dreams,Directed,106,,1,0
Elevation (Novella),The Best American Short Stories 2007,Directed,107,,1,0
Elevation (Novella),The Colorado Kid,Directed,108,,1,0
Elevation (Novella),The Dark Half,Directed,109,,1,0
Elevation (Novella),The Dark Tower: The Gunslinger,Directed,110,,1,0
Elevation (Novella),The Dark Tower: The Wind Through The Keyhole,Directed,111,,1,0
Elevation (Novella),The Dark Tower (Series),Directed,112,,1,0
Elevation (Novella),The Dark Tower Ii: The Drawing Of The Three,Directed,113,,1,0
Elevation (Novella),The Dark Tower Iii: The Waste Lands,Directed,114,,1,0
Elevation (Novella),The Dark Tower Iv: Wizard And Glass,Directed,115,,1,0
Elevation (Novella),The Dark Tower V: Wolves Of The Calla,Directed,116,,1,0
Elevation (Novella),The Dark Tower Vi: Song Of Susannah,Directed,117,,1,0
Elevation (Novella),The Dark Tower Vii: The Dark Tower,Directed,118,,1,0
Elevation (Novella),The Dead Zone (Novel),Directed,119,,1,0
Elevation (Novella),The Eyes Of The Dragon,Directed,120,,1,0
Elevation (Novella),The Girl Who Loved Tom Gordon,Directed,121,,1,0
Elevation (Novella),The Green Mile (Novel),Directed,122,,1,0
Elevation (Novella),The Institute (King Novel),Directed,123,,1,0
Elevation (Novella),The Long Walk,Directed,124,,1,0
Elevation (Novella),The Outsider (King Novel),Directed,125,,1,0
Elevation (Novella),The Plant (Novel),Directed,126,,1,0
Elevation (Novella),The Regulators (Novel),Directed,127,,1,0
Elevation (Novella),The Running Man (King Novel),Directed,128,,1,0
Elevation (Novella),The Secretary Of Dreams,Directed,129,,1,0
Elevation (Novella),The Shining (Miniseries),Directed,130,,1,0
Elevation (Novella),The Shining (Novel),Directed,131,,1,0
Elevation (Novella),The Stand,Directed,132,,1,0
Elevation (Novella),The Stand (1994 Miniseries),Directed,133,,1,0
Elevation (Novella),The Stand (2020 Miniseries),Directed,134,,1,0
Elevation (Novella),The Talisman (King And Straub Novel),Directed,135,,1,0
Elevation (Novella),The Tommyknockers,Directed,136,,1,0
Elevation (Novella),The Washington Post,Directed,137,,1,0
Elevation (Novella),Thinner (Novel),Directed,138,,1,0
Elevation (Novella),Under The Dome (Novel),Directed,139,,1,0
Elevation (Novella),Unpublished And Uncollected Works By Stephen King,Directed,140,,1,0
Elevation (Novella),Secret Window,Directed,141,,1,0
Stephen King Goes To The Movies,'Salem'S Lot,Directed,142,,1,0
Stephen King Goes To The Movies,11/22/63,Directed,143,,1,0
Stephen King Goes To The Movies,1408 (Film),Directed,144,,1,0
Stephen King Goes To The Movies,1408 (Short Story),Directed,145,,1,0
Stephen King Goes To The Movies,A Good Marriage (Film),Directed,146,,1,0
Stephen King Goes To The Movies,All-World,Directed,147,,1,0
Stephen King Goes To The Movies,American Vampire,Directed,148,,1,0
Stephen King Goes To The Movies,Bag Of Bones,Directed,149,,1,0
Stephen King Goes To The Movies,Bibliography Of Works On Stephen King,Directed,150,,1,0
Stephen King Goes To The Movies,Billy Summers,Directed,151,,1,0
Stephen King Goes To The Movies,Black House (Novel),Directed,152,,1,0
Stephen King Goes To The Movies,Black Ribbons,Directed,153,,1,0
Stephen King Goes To The Movies,Blaze (Novel),Directed,154,,1,0
Stephen King Goes To The Movies,Carrie (Novel),Directed,155,,1,0
Stephen King Goes To The Movies,Castle Rock (Stephen King),Directed,156,,1,0
Stephen King Goes To The Movies,Castle Rock Entertainment,Directed,157,,1,0
Stephen King Goes To The Movies,Cat'S Eye (1985 Film),Directed,158,,1,0
Stephen King Goes To The Movies,Cell (Film),Directed,159,,1,0
Stephen King Goes To The Movies,Cell (Novel),Directed,160,,1,0
Stephen King Goes To The Movies,Charlie The Choo-Choo (Book),Directed,161,,1,0
Stephen King Goes To The Movies,Children Of The Corn,Directed,162,,1,0
Stephen King Goes To The Movies,Chinga (The X-Files),Directed,163,,1,0
Stephen King Goes To The Movies,Christine (Novel),Directed,164,,1,0
Stephen King Goes To The Movies,Creepshow,Directed,165,,1,0
Stephen King Goes To The Movies,Cujo,Directed,166,,1,0
Stephen King Goes To The Movies,Cycle Of The Werewolf,Directed,167,,1,0
Stephen King Goes To The Movies,Danse Macabre (Book),Directed,168,,1,0
Stephen King Goes To The Movies,Derry (Stephen King),Directed,169,,1,0
Stephen King Goes To The Movies,Desperation (Novel),Directed,170,,1,0
Stephen King Goes To The Movies,Different Seasons,Directed,171,,1,0
Stephen King Goes To The Movies,Doctor Sleep (Novel),Directed,172,,1,0
Stephen King Goes To The Movies,Dollar Baby,Directed,173,,1,0
Stephen King Goes To The Movies,Dolores Claiborne,Directed,174,,1,0
Stephen King Goes To The Movies,Dreamcatcher (Novel),Directed,175,,1,0
Stephen King Goes To The Movies,Duma Key,Directed,176,,1,0
Stephen King Goes To The Movies,Elevation (Novella),Directed,177,,1,0
Stephen King Goes To The Movies,End Of Watch (Novel),Directed,178,,1,0
Stephen King Goes To The Movies,Everything'S Eventual,Directed,179,,1,0
Stephen King Goes To The Movies,Fairy Tale (Novel),Directed,180,,1,0
Stephen King Goes To The Movies,Faithful (Book),Directed,181,,1,0
Stephen King Goes To The Movies,Finders Keepers (King Novel),Directed,182,,1,0
Stephen King Goes To The Movies,Firestarter (Novel),Directed,183,,1,0
Stephen King Goes To The Movies,Flight Or Fright,Directed,184,,1,0
Stephen King Goes To The Movies,Four Past Midnight,Directed,185,,1,0
Stephen King Goes To The Movies,From A Buick 8,Directed,186,,1,0
Stephen King Goes To The Movies,"Full Dark, No Stars",Directed,187,,1,0
Stephen King Goes To The Movies,Gerald'S Game,Directed,188,,1,0
Stephen King Goes To The Movies,Ghost Brothers Of Darkland County,Directed,189,,1,0
Stephen King Goes To The Movies,Golden Years (Miniseries),Directed,190,,1,0
Stephen King Goes To The Movies,Guns (Essay),Directed,191,,1,0
Stephen King Goes To The Movies,Gwendy'S Button Box,Directed,192,,1,0
Stephen King Goes To The Movies,Gwendy'S Final Task,Directed,193,,1,0
Stephen King Goes To The Movies,Heads Will Roll (Under The Dome),Directed,194,,1,0
Stephen King Goes To The Movies,Hearts In Atlantis,Directed,195,,1,0
Stephen King Goes To The Movies,Hearts In Atlantis (Film),Directed,196,,1,0
Stephen King Goes To The Movies,Hearts In Suspension,Directed,197,,1,0
Stephen King Goes To The Movies,Heroes For Hope,Directed,198,,1,0
Stephen King Goes To The Movies,Hodder & Stoughton,Directed,199,,1,0
Stephen King Goes To The Movies,If It Bleeds,Directed,200,,1,0
Stephen King Goes To The Movies,Insomnia (Novel),Directed,201,,1,0
Stephen King Goes To The Movies,It (Novel),Directed,202,,1,0
Stephen King Goes To The Movies,Jerusalem'S Lot (Stephen King),Directed,203,,1,0
Stephen King Goes To The Movies,Joe Hill (Writer),Directed,204,,1,0
Stephen King Goes To The Movies,Joyland (King Novel),Directed,205,,1,0
Stephen King Goes To The Movies,Just After Sunset,Directed,206,,1,0
Stephen King Goes To The Movies,Kingdom Hospital,Directed,207,,1,0
Stephen King Goes To The Movies,Later (Novel),Directed,208,,1,0
Stephen King Goes To The Movies,Lisey'S Story,Directed,209,,1,0
Stephen King Goes To The Movies,Lisey'S Story (Miniseries),Directed,210,,1,0
Stephen King Goes To The Movies,Maximum Overdrive,Directed,211,,1,0
Stephen King Goes To The Movies,Michael Jackson'S Ghosts,Directed,212,,1,0
Stephen King Goes To The Movies,Misery (Novel),Directed,213,,1,0
Stephen King Goes To The Movies,Mr. Mercedes,Directed,214,,1,0
Stephen King Goes To The Movies,Multiverse (Stephen King),Directed,215,,1,0
Stephen King Goes To The Movies,Needful Things,Directed,216,,1,0
Stephen King Goes To The Movies,Night Shift (Book),Directed,217,,1,0
Stephen King Goes To The Movies,Night Shift (Short Story Collection),Directed,218,,1,0
Stephen King Goes To The Movies,Nightmares & Dreamscapes,Directed,219,,1,0
Stephen King Goes To The Movies,Nightmares In The Sky,Directed,220,,1,0
Stephen King Goes To The Movies,On Writing: A Memoir Of The Craft,Directed,221,,1,0
Stephen King Goes To The Movies,Owen King,Directed,222,,1,0
Stephen King Goes To The Movies,"People, Places And Things (Short Story Collection)",Directed,223,,1,0
Stephen King Goes To The Movies,Pet Sematary,Directed,224,,1,0
Stephen King Goes To The Movies,Pet Sematary (1989 Film),Directed,225,,1,0
Stephen King Goes To The Movies,Philtrum Press,Directed,226,,1,0
Stephen King Goes To The Movies,Rage (King Novel),Directed,227,,1,0
Stephen King Goes To The Movies,Raymond H. Fogler Library,Directed,228,,1,0
Stephen King Goes To The Movies,Revival (Novel),Directed,229,,1,0
Stephen King Goes To The Movies,Richard Bachman,Directed,230,,1,0
Stephen King Goes To The Movies,Rita Hayworth And Shawshank Redemption,Directed,231,,1,0
Stephen King Goes To The Movies,Roadwork (Novel),Directed,232,,1,0
Stephen King Goes To The Movies,Rock Bottom Remainders,Directed,233,,1,0
Stephen King Goes To The Movies,Rose Madder (Novel),Directed,234,,1,0
Stephen King Goes To The Movies,Rose Red (Miniseries),Directed,235,,1,0
Stephen King Goes To The Movies,Shawshank State Prison,Directed,236,,1,0
Stephen King Goes To The Movies,Short Story,Directed,237,,1,0
Stephen King Goes To The Movies,Silver Bullet (Film),Directed,238,,1,0
Stephen King Goes To The Movies,Six Scary Stories,Directed,239,,1,0
Stephen King Goes To The Movies,Six Stories,Directed,240,,1,0
Stephen King Goes To The Movies,Skeleton Crew (Short Story Collection),Directed,241,,1,0
Stephen King Goes To The Movies,Sleeping Beauties (Novel),Directed,242,,1,0
Stephen King Goes To The Movies,Sleepwalkers (1992 Film),Directed,243,,1,0
Stephen King Goes To The Movies,"Sorry, Right Number",Directed,244,,1,0
Stephen King Goes To The Movies,Stephen King'S Desperation,Directed,245,,1,0
Stephen King Goes To The Movies,Stephen King Bibliography,Directed,246,,1,0
Stephen King Goes To The Movies,Stephen King Short Fiction Bibliography,Directed,247,,1,0
Stephen King Goes To The Movies,Storm Of The Century,Directed,248,,1,0
Stephen King Goes To The Movies,Tabitha King,Directed,249,,1,0
Stephen King Goes To The Movies,The Bachman Books,Directed,250,,1,0
Stephen King Goes To The Movies,The Bazaar Of Bad Dreams,Directed,251,,1,0
Stephen King Goes To The Movies,The Best American Short Stories 2007,Directed,252,,1,0
Stephen King Goes To The Movies,The Colorado Kid,Directed,253,,1,0
Stephen King Goes To The Movies,The Dark Half,Directed,254,,1,0
Stephen King Goes To The Movies,The Dark Tower: The Gunslinger,Directed,255,,1,0
Stephen King Goes To The Movies,The Dark Tower: The Wind Through The Keyhole,Directed,256,,1,0
Stephen King Goes To The Movies,The Dark Tower (Series),Directed,257,,1,0
Stephen King Goes To The Movies,The Dark Tower Ii: The Drawing Of The Three,Directed,258,,1,0
Stephen King Goes To The Movies,The Dark Tower Iii: The Waste Lands,Directed,259,,1,0
Stephen King Goes To The Movies,The Dark Tower Iv: Wizard And Glass,Directed,260,,1,0
Stephen King Goes To The Movies,The Dark Tower V: Wolves Of The Calla,Directed,261,,1,0
Stephen King Goes To The Movies,The Dark Tower Vi: Song Of Susannah,Directed,262,,1,0
Stephen King Goes To The Movies,The Dark Tower Vii: The Dark Tower,Directed,263,,1,0
Stephen King Goes To The Movies,The Dead Zone (Novel),Directed,264,,1,0
Stephen King Goes To The Movies,The Eyes Of The Dragon,Directed,265,,1,0
Stephen King Goes To The Movies,The Girl Who Loved Tom Gordon,Directed,266,,1,0
Stephen King Goes To The Movies,The Green Mile (Novel),Directed,267,,1,0
Stephen King Goes To The Movies,The Institute (King Novel),Directed,268,,1,0
